"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SLC4A7"	1.44494920585254e-42	0.336516817677013	0.318	0.225	3.0611248925986e-38	"0"	"SLC4A7"
"NBEAL2"	1.67796249041567e-42	0.340545743890197	0.31	0.223	3.55476353594559e-38	"0"	"NBEAL2"
"TTC13"	2.45438550709384e-42	0.358511272350051	0.255	0.161	5.1996156967783e-38	"0"	"TTC13"
"CANX"	5.09688313096855e-41	0.287151248135847	0.454	0.353	1.07977469129569e-36	"0"	"CANX"
"PLEC"	1.45356379133093e-40	0.300282361795881	0.331	0.223	3.07937489193458e-36	"0"	"PLEC"
"GPRIN3"	2.70868550013193e-40	0.253184901439466	0.318	0.236	5.73835023202949e-36	"0"	"GPRIN3"
"PRKAR1A"	1.04164518037842e-39	0.273676117044002	0.483	0.387	2.20672531463169e-35	"0"	"PRKAR1A"
"OASL"	3.87215079562754e-39	0.259992173852429	0.268	0.175	8.20315146053694e-35	"0"	"OASL"
"NLRC3"	1.10840403483269e-38	0.253817731543163	0.346	0.252	2.34815394779305e-34	"0"	"NLRC3"
"USP36"	7.01504747624599e-38	0.252013180810027	0.297	0.216	1.48613780784271e-33	"0"	"USP36"
"SSH2"	1.23950879046615e-37	0.270995336927463	0.371	0.271	2.62589937260255e-33	"0"	"SSH2"
"TMEM43"	6.16994668575066e-37	0.273379294849469	0.339	0.247	1.30710320537628e-32	"0"	"TMEM43"
"DIAPH1"	7.10555010181369e-37	0.263237874533127	0.382	0.289	1.50531078906923e-32	"0"	"DIAPH1"
"GPR174"	1.0016703307874e-36	0.367545090341482	0.301	0.216	2.1220385957731e-32	"0"	"GPR174"
"LGALS8"	2.89319837049856e-36	0.306681148155527	0.34	0.249	6.1292407479012e-32	"0"	"LGALS8"
"PDE4D"	4.68372007803256e-36	0.556796320712163	0.251	0.168	9.92246098531197e-32	"0"	"PDE4D"
"CISH"	1.02300763668062e-34	0.323874728884379	0.33	0.243	2.1672416783079e-30	"0"	"CISH"
"HIF1A"	1.51849012969214e-34	0.250619576413082	0.372	0.283	3.21692133975281e-30	"0"	"HIF1A"
"HNRNPUL1"	7.3278310109312e-34	0.277074939129066	0.411	0.324	1.55240099966577e-29	"0"	"HNRNPUL1"
"RIF1"	1.02611122387206e-33	0.316897027251614	0.331	0.237	2.17381662777297e-29	"0"	"RIF1"
"LRRC75A"	3.32817981309015e-32	0.449757240250897	0.282	0.376	7.05074893403149e-28	"0"	"LRRC75A"
"ST8SIA4"	3.26683472881561e-31	0.299603415998356	0.278	0.206	6.92078937299587e-27	"0"	"ST8SIA4"
"RAB27A"	1.07176019118985e-30	0.260763861362652	0.278	0.213	2.2705239650357e-26	"0"	"RAB27A"
"STAT1"	1.36251650768047e-30	0.252545156427081	0.551	0.472	2.88649122152108e-26	"0"	"STAT1"
"DDX60"	1.45379128121206e-30	0.330221350363187	0.308	0.223	3.07985682924775e-26	"0"	"DDX60"
